Neighborhood,Sector,Population.2010,Total_Adult_Residents_Employed.2010,Resident_Jobs:Construction,Resident_Jobs:Manufacturing,Resident_Jobs:Retail_Trade,"Resident_Jobs:Transportation,warehousing,utilities",Resident_Jobs:Information,"Resident_Jobs:Finance,insurance,real_estate","Resident_Jobs:Prof,scientific,admin,waste_mgmt","Resident_Jobs:Educ,health,social_services","Resident_Jobs:Arts,Ent,recreation,accommodation,food_services",Resident_Jobs:Public_admin,Resident_Jobs:Other,Total_Jobs_Located_in_Neighborhood.2000,Jobs_in_Hood:Construction,Jobs_in_Hood:Manufacturing,Jobs_in_Hood:Retail_trade,"Jobs_in_Hood:Transport,warehousing,utilities",Jobs_in_Hood:Information,"Jobs_in_Hood:Finance,insurance,real_estate","Jobs_in_Hood:Prof,scientific,admin,waste_mgmt","Jobs_in_Hood:Educ,health,social_services","Jobs_in_Hood:Arts,Ent,recreation,accommodation,food_services",Jobs_in_Hood:Public_admin,Jobs_in_Hood:Other
Allegheny Center,3,933,386,3.10%,1.80%,11.90%,0.00%,0.00%,10.40%,5.40%,42.70%,19.70%,1.00%,3.90%,"5,410",3.10%,9.40%,1.80%,7.70%,8.50%,21.30%,9.30%,25.80%,6.70%,2.00%,4.40%
Allegheny West,3,462,151,0.00%,6.60%,0.00%,14.60%,0.00%,0.00%,11.30%,25.20%,36.40%,6.00%,0.00%,"1,294",1.20%,12.40%,3.10%,0.30%,0.80%,6.60%,3.90%,48.70%,4.60%,1.90%,16.60%
Allentown,6,"2,500",858,4.20%,7.80%,11.90%,5.60%,2.30%,8.40%,13.20%,27.50%,10.60%,1.40%,7.10%,355,7.00%,0.00%,31.00%,8.50%,0.00%,4.20%,8.50%,14.10%,8.50%,2.80%,15.50%
Arlington,7,"1,869",685,7.20%,13.00%,12.30%,1.80%,5.00%,0.90%,9.20%,27.30%,8.30%,0.00%,15.20%,62,16.10%,6.50%,0.00%,0.00%,6.50%,0.00%,0.00%,64.50%,0.00%,0.00%,6.50%
Arlington Heights,7,244,72,0.00%,0.00%,13.90%,0.00%,0.00%,29.20%,0.00%,18.10%,27.80%,0.00%,11.10%,10,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
Banksville,5,"4,144","2,532",5.40%,4.90%,11.10%,1.90%,1.80%,10.70%,11.50%,21.00%,9.60%,8.30%,13.80%,"1,839",4.90%,7.30%,17.40%,0.00%,4.10%,5.40%,8.40%,23.70%,12.80%,0.20%,15.80%
Bedford Dwellings,15,"1,202",358,0.00%,7.50%,0.00%,12.30%,0.00%,2.80%,2.20%,54.70%,2.20%,6.40%,11.70%,34,0.00%,11.80%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,88.20%,0.00%,0.00%
Beechview,5,"7,974","4,096",5.60%,5.90%,11.80%,2.80%,2.70%,7.70%,9.40%,25.20%,17.10%,5.00%,6.80%,"2,134",15.00%,4.00%,22.00%,4.00%,0.50%,3.70%,8.40%,17.60%,8.90%,2.80%,13.10%
Beltzhoover,6,"1,925",706,0.00%,1.30%,13.60%,10.60%,7.60%,15.00%,11.20%,22.20%,8.90%,1.00%,8.50%,411,2.40%,12.20%,2.40%,37.70%,2.40%,1.00%,13.40%,21.90%,1.00%,1.00%,4.60%
Bloomfield,12,"8,442","5,227",3.00%,4.90%,8.70%,1.80%,3.60%,3.80%,8.60%,36.20%,16.30%,1.90%,11.20%,"6,799",2.30%,4.10%,12.50%,2.10%,1.90%,4.10%,4.50%,49.40%,10.10%,1.20%,7.90%
